solver,increment,order_of_conv
newton_raphson,1,nan
newton_raphson,2,1.7914098922160318
newton_raphson,3,nan
newton_raphson,4,nan
newton_raphson,5,1.9705203723644962
damped_picard,1,nan
damped_picard,2,0.999652758286402
damped_picard,3,1.000186037272579
damped_picard,4,0.9539108264001486
damped_picard,5,0.9657210225658001
anderson,1,nan
anderson,2,1.067573056401593
anderson,3,1.1827743708419598
anderson,4,nan
anderson,5,1.1905541495684935
broyden,1,nan
broyden,2,2.509248946880064
broyden,3,nan
broyden,4,nan
broyden,5,2.525685123752582
jfnk,1,nan
jfnk,2,nan
jfnk,3,nan
jfnk,4,nan
jfnk,5,nan
rand_subspace_newton,1,nan
rand_subspace_newton,2,nan
rand_subspace_newton,3,nan
rand_subspace_newton,4,nan
rand_subspace_newton,5,nan
