method,material,patch_size,mesh_size,n_boundary_dofs,mean_time_s,std_time_s,n_calls
fe,elastic,,2,0,6.972546e-04,2.929392e-05,9
fe,hyperelastic,,2,0,8.072113e-04,2.649467e-05,44
fe,elastic,,4,0,9.699907e-04,3.740238e-05,9
fe,hyperelastic,,4,0,1.044717e-03,4.485712e-05,44
fe,elastic,,6,0,9.739815e-04,4.087892e-05,9
fe,hyperelastic,,6,0,1.070485e-03,3.998389e-05,43
fe,elastic,,8,0,9.668242e-04,1.972106e-05,9
fe,hyperelastic,,8,0,1.131763e-03,4.835916e-05,43
fe,elastic,,10,0,1.010903e-03,6.014676e-05,9
fe,hyperelastic,,10,0,1.178132e-03,4.119962e-05,43
fe,elastic,,12,0,1.091746e-03,5.930056e-05,9
fe,hyperelastic,,12,0,1.269485e-03,4.816690e-05,43
fe,elastic,,14,0,1.071648e-03,2.195150e-05,9
fe,hyperelastic,,14,0,1.374573e-03,5.107545e-05,42
surrogate,elastic,1x1,2,8,1.028454e-01,1.895798e-02,22
surrogate,elastic,2x2,4,16,4.082958e-01,2.625754e-02,21
surrogate,elastic,3x3,6,24,5.771288e-01,5.039736e-02,21
surrogate,elastic,4x4,8,32,8.715913e-01,1.070023e-02,21
surrogate,elastic,5x5,10,40,1.316401e+00,3.461706e-02,29
surrogate,elastic,6x6,12,48,1.830918e+00,8.513795e-02,21
surrogate,elastic,7x7,14,56,2.409062e+00,8.884807e-02,21
fe_analytic_tangent,elastoplastic_nlh,,2,0,2.866966e-03,1.325081e-04,29
fe_perturbation_tangent,elastoplastic_nlh,,2,0,5.630484e-03,7.799476e-04,29
surrogate,elastoplastic_nlh,1x1,2,8,1.765284e-01,6.798046e-03,42
